user_ID,stimuli_ID,stimuli_file,rating_type,rating,timestamp
1,-1,,user_registered,-1,2023-12-12 07:51:30 433369
1,0,['test1'],range_wie_anspruchsvoll_war_die_durchfuehrung_der_aufgabe_fuer_sie,38,2023-12-12 09:00:08 977921
1,0,['test1'],range_wie_viel_zeitdruck_hatten_sie_bei_der_durchfuehrung_der_aufgabe,37,2023-12-12 09:00:08 977921
1,0,['test1'],range_wie_hoch_war_ihr_erfolgserlebnis_bei_der_durchfuehrung_der_aufgabe,74,2023-12-12 09:00:08 977921
1,0,['test1'],range_wie_hart_mussten_sie_arbeiten__um_ihr_leistungsniveau_zu_erreichen,57,2023-12-12 09:00:08 977921
1,0,['test1'],range_wie_unsicher__entmutigt__gestresst_und_genervt_haben_sie_sich_waehrend_der_aufgabe_gefuehlt,27,2023-12-12 09:00:08 977921
1,0,['test1'],range_wie_hoch_war_die_von_ihnen_empfundene_anstrengung_beim_zuhoeren,29,2023-12-12 09:00:08 977921
1,0,['test1'],ww,-1,2023-12-12 09:00:08 977921
1,0,['test1'],wh,-1,2023-12-12 09:00:08 977921
1,0,['test1'],wz,-1,2023-12-12 09:00:08 977921
1,0,['test1'],start_timestamp,"Tue, 12 Dec 2023 14:00:26 GMT",2023-12-12 09:00:08 977921
1,0,['test1'],pi,1,2023-12-12 09:00:08 977921
1,1,['test2'],range_wie_anspruchsvoll_war_die_durchfuehrung_der_aufgabe_fuer_sie,83,2023-12-12 09:03:44 513410
1,1,['test2'],range_wie_viel_zeitdruck_hatten_sie_bei_der_durchfuehrung_der_aufgabe,94,2023-12-12 09:03:44 513410
1,1,['test2'],range_wie_hoch_war_ihr_erfolgserlebnis_bei_der_durchfuehrung_der_aufgabe,75,2023-12-12 09:03:44 513410
1,1,['test2'],range_wie_hart_mussten_sie_arbeiten__um_ihr_leistungsniveau_zu_erreichen,79,2023-12-12 09:03:44 513410
1,1,['test2'],range_wie_unsicher__entmutigt__gestresst_und_genervt_haben_sie_sich_waehrend_der_aufgabe_gefuehlt,67,2023-12-12 09:03:44 513410
1,1,['test2'],range_wie_hoch_war_die_von_ihnen_empfundene_anstrengung_beim_zuhoeren,80,2023-12-12 09:03:44 513410
1,1,['test2'],ww,-1,2023-12-12 09:03:44 513410
1,1,['test2'],wh,-1,2023-12-12 09:03:44 513410
1,1,['test2'],wz,-1,2023-12-12 09:03:44 513410
1,1,['test2'],start_timestamp,"Tue, 12 Dec 2023 14:02:31 GMT",2023-12-12 09:03:44 513410
1,1,['test2'],pi,1,2023-12-12 09:03:44 513410
